epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,521.371,1.54558,0.70679,0.00255,0.8732,0.87291,0.92773,0.52167,1.54242,0.59065,0.00282,0.0015941,0.0015941,0.0015941
43,533.312,1.54594,0.7027,0.0026,0.86838,0.87928,0.92037,0.52012,1.55376,0.61514,0.00287,0.0015842,0.0015842,0.0015842
44,544.673,1.57543,0.7085,0.00272,0.87986,0.88732,0.92622,0.50428,1.59171,0.60648,0.00305,0.0015743,0.0015743,0.0015743
45,557.164,1.61068,0.73886,0.0026,0.85974,0.87564,0.92005,0.50611,1.58529,0.62842,0.00287,0.0015644,0.0015644,0.0015644
46,568.922,1.56184,0.70263,0.00259,0.855,0.89336,0.92758,0.50781,1.57732,0.60447,0.00287,0.0015545,0.0015545,0.0015545
47,580.921,1.54997,0.68255,0.00256,0.87806,0.88379,0.93259,0.5053,1.60935,0.58918,0.00294,0.0015446,0.0015446,0.0015446
48,593.098,1.59586,0.70206,0.00261,0.8715,0.85312,0.9168,0.47206,1.73124,0.64149,0.00318,0.0015347,0.0015347,0.0015347
49,604.649,1.56875,0.70778,0.00252,0.86242,0.87324,0.92409,0.49031,1.62818,0.62496,0.00294,0.0015248,0.0015248,0.0015248
50,616.368,1.58157,0.70638,0.0028,0.86735,0.90342,0.93825,0.5056,1.62735,0.59121,0.003,0.0015149,0.0015149,0.0015149
51,627.768,1.5926,0.71241,0.00256,0.89772,0.90141,0.93703,0.51794,1.56964,0.55679,0.00288,0.001505,0.001505,0.001505
52,639.467,1.55523,0.67555,0.00254,0.89845,0.86519,0.93214,0.51252,1.59841,0.58292,0.00291,0.0014951,0.0014951,0.0014951
53,651.703,1.54824,0.66972,0.00243,0.87615,0.88531,0.93214,0.50905,1.62438,0.58143,0.00295,0.0014852,0.0014852,0.0014852
54,663.354,1.53657,0.68539,0.00271,0.86578,0.89552,0.93483,0.51121,1.57512,0.59959,0.00285,0.0014753,0.0014753,0.0014753
55,675.136,1.55542,0.65627,0.00252,0.88783,0.89183,0.9438,0.52428,1.58927,0.53967,0.00296,0.0014654,0.0014654,0.0014654
56,687.254,1.58676,0.67594,0.00242,0.8939,0.8833,0.93727,0.52405,1.55564,0.57043,0.00287,0.0014555,0.0014555,0.0014555
57,699.609,1.56355,0.66428,0.00252,0.87877,0.8751,0.93593,0.52395,1.59113,0.58853,0.00288,0.0014456,0.0014456,0.0014456
58,711.74,1.58115,0.67642,0.00262,0.88972,0.8928,0.93692,0.53208,1.57485,0.58589,0.00286,0.0014357,0.0014357,0.0014357
59,723.496,1.54151,0.65121,0.00251,0.88264,0.89281,0.93579,0.5095,1.58457,0.56738,0.00292,0.0014258,0.0014258,0.0014258
60,735.073,1.56152,0.66069,0.00265,0.87002,0.90141,0.94035,0.5204,1.58128,0.5737,0.0029,0.0014159,0.0014159,0.0014159
61,746.399,1.51654,0.63884,0.00252,0.88017,0.9015,0.94766,0.54266,1.53261,0.53143,0.00276,0.001406,0.001406,0.001406
62,758.46,1.51652,0.64289,0.00262,0.90113,0.88934,0.93784,0.5288,1.5649,0.57106,0.00284,0.0013961,0.0013961,0.0013961
63,770.563,1.56626,0.65393,0.00262,0.87952,0.90141,0.94513,0.51852,1.60056,0.55782,0.00295,0.0013862,0.0013862,0.0013862
64,782.061,1.55301,0.64098,0.00272,0.87105,0.90744,0.94562,0.52316,1.61903,0.53767,0.00296,0.0013763,0.0013763,0.0013763
65,792.962,1.54133,0.66138,0.00267,0.90101,0.89743,0.93997,0.51033,1.58089,0.57035,0.00286,0.0013664,0.0013664,0.0013664
66,804.368,1.5183,0.64738,0.00268,0.89049,0.89985,0.94353,0.52984,1.5434,0.55032,0.00276,0.0013565,0.0013565,0.0013565
67,816.66,1.56937,0.6324,0.00239,0.89202,0.89336,0.94022,0.522,1.573,0.55506,0.00288,0.0013466,0.0013466,0.0013466
68,828.427,1.5436,0.62357,0.00265,0.90578,0.88979,0.94297,0.53454,1.54993,0.53914,0.0028,0.0013367,0.0013367,0.0013367
69,840.449,1.54557,0.64911,0.00244,0.88372,0.90225,0.9392,0.51115,1.61946,0.55166,0.00295,0.0013268,0.0013268,0.0013268
70,852.217,1.52639,0.63384,0.00242,0.90027,0.9082,0.95438,0.5243,1.58861,0.54185,0.00291,0.0013169,0.0013169,0.0013169
71,864.187,1.58972,0.66115,0.00243,0.89264,0.90338,0.95379,0.52774,1.58445,0.59043,0.00286,0.001307,0.001307,0.001307
72,876.525,1.55104,0.67806,0.00247,0.86917,0.90744,0.94993,0.51748,1.59023,0.54216,0.00292,0.0012971,0.0012971,0.0012971
73,888.703,1.48771,0.6242,0.00248,0.87785,0.89651,0.93612,0.50822,1.62343,0.57184,0.00298,0.0012872,0.0012872,0.0012872
74,900.594,1.51514,0.62962,0.00261,0.87868,0.91549,0.95188,0.54023,1.53568,0.53061,0.00279,0.0012773,0.0012773,0.0012773
75,912.13,1.5438,0.5933,0.00245,0.89308,0.89071,0.95382,0.54121,1.55753,0.51898,0.00284,0.0012674,0.0012674,0.0012674
76,923.716,1.53741,0.61259,0.00268,0.90217,0.90922,0.95283,0.54007,1.5664,0.51571,0.00284,0.0012575,0.0012575,0.0012575
77,935.649,1.50772,0.60398,0.00251,0.88774,0.89738,0.94592,0.52955,1.56902,0.54093,0.00285,0.0012476,0.0012476,0.0012476
78,947.485,1.55036,0.61166,0.00257,0.88073,0.90946,0.94445,0.52332,1.57384,0.54336,0.00288,0.0012377,0.0012377,0.0012377
79,959.866,1.5517,0.60068,0.00254,0.87947,0.88092,0.92738,0.48428,1.65918,0.59862,0.00304,0.0012278,0.0012278,0.0012278
80,972.152,1.52503,0.62475,0.00238,0.90212,0.90141,0.94688,0.53187,1.56673,0.53804,0.00286,0.0012179,0.0012179,0.0012179
81,984.007,1.51752,0.61687,0.00272,0.89608,0.90543,0.95022,0.54154,1.53925,0.55768,0.00278,0.001208,0.001208,0.001208
82,995.773,1.51924,0.63389,0.00239,0.91119,0.86699,0.94781,0.53829,1.54953,0.5636,0.00284,0.0011981,0.0011981,0.0011981
83,1007.06,1.51092,0.61528,0.00247,0.92467,0.8833,0.94889,0.54787,1.53292,0.52997,0.00277,0.0011882,0.0011882,0.0011882
