epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,772.718,1.46001,0.6631,1.05447,0.89548,0.91365,0.94743,0.51548,1.54339,0.64152,1.08895,0.0015941,0.0015941,0.0015941
43,791.043,1.47729,0.68379,1.06102,0.8919,0.89647,0.94618,0.47412,1.68613,0.66033,1.15435,0.0015842,0.0015842,0.0015842
44,809.336,1.47149,0.65138,1.05387,0.87028,0.91147,0.94583,0.50522,1.55931,0.63941,1.10629,0.0015743,0.0015743,0.0015743
45,827.619,1.42927,0.65307,1.05552,0.91284,0.87525,0.9426,0.50231,1.58638,0.63441,1.11159,0.0015644,0.0015644,0.0015644
46,845.734,1.47427,0.65151,1.07779,0.92142,0.8994,0.952,0.54112,1.50393,0.62669,1.08089,0.0015545,0.0015545,0.0015545
47,864.178,1.45571,0.65683,1.05375,0.91406,0.89537,0.9545,0.52865,1.51907,0.635,1.08125,0.0015446,0.0015446,0.0015446
48,882.518,1.44627,0.65714,1.0674,0.91377,0.89738,0.95292,0.54531,1.48542,0.63761,1.07049,0.0015347,0.0015347,0.0015347
49,900.749,1.44963,0.66713,1.05761,0.86433,0.89336,0.91919,0.43282,1.71762,0.71056,1.15497,0.0015248,0.0015248,0.0015248
50,918.779,1.42081,0.65853,1.05967,0.92,0.90246,0.94933,0.53618,1.51533,0.62268,1.09175,0.0015149,0.0015149,0.0015149
51,936.91,1.42545,0.65107,1.06488,0.90235,0.87387,0.93154,0.48024,1.62991,0.66396,1.12652,0.001505,0.001505,0.001505
52,955.124,1.41363,0.63492,1.04798,0.91075,0.90744,0.94976,0.5324,1.49158,0.61135,1.08194,0.0014951,0.0014951,0.0014951
53,973.372,1.39512,0.62604,1.03879,0.9009,0.90744,0.94712,0.51169,1.55003,0.62279,1.09933,0.0014852,0.0014852,0.0014852
54,991.868,1.43101,0.63419,1.04415,0.92651,0.90342,0.95061,0.53353,1.53258,0.63002,1.08525,0.0014753,0.0014753,0.0014753
55,1009.94,1.42242,0.63691,1.06405,0.90069,0.91245,0.94329,0.51149,1.56236,0.62057,1.10642,0.0014654,0.0014654,0.0014654
56,1028.23,1.43936,0.64747,1.06102,0.88993,0.92757,0.95548,0.53673,1.464,0.61343,1.06833,0.0014555,0.0014555,0.0014555
57,1046.28,1.41162,0.64061,1.04905,0.89951,0.90058,0.94825,0.51508,1.53292,0.63563,1.08279,0.0014456,0.0014456,0.0014456
58,1064.34,1.40716,0.62629,1.05183,0.9179,0.88934,0.94617,0.52786,1.52095,0.62474,1.08689,0.0014357,0.0014357,0.0014357
59,1082.52,1.39607,0.6322,1.04952,0.92411,0.88531,0.95619,0.54641,1.47838,0.60721,1.06796,0.0014258,0.0014258,0.0014258
60,1100.52,1.4056,0.63185,1.05932,0.90714,0.90415,0.95551,0.54485,1.46835,0.60313,1.06384,0.0014159,0.0014159,0.0014159
61,1118.43,1.41111,0.63766,1.06948,0.88824,0.90342,0.9386,0.5129,1.55951,0.62615,1.10459,0.001406,0.001406,0.001406
62,1136.4,1.40557,0.61713,1.05419,0.89741,0.91751,0.95104,0.54018,1.5056,0.60449,1.08633,0.0013961,0.0013961,0.0013961
63,1154.91,1.42248,0.63129,1.05491,0.92364,0.90047,0.96379,0.54307,1.48469,0.6109,1.07765,0.0013862,0.0013862,0.0013862
64,1173.29,1.443,0.62669,1.04602,0.92046,0.90813,0.95513,0.52725,1.51011,0.61735,1.08245,0.0013763,0.0013763,0.0013763
65,1191.44,1.38147,0.61066,1.03993,0.93144,0.90203,0.95982,0.5395,1.50712,0.59993,1.08322,0.0013664,0.0013664,0.0013664
66,1209.53,1.40753,0.61082,1.04801,0.91561,0.91688,0.95668,0.55106,1.47413,0.5907,1.07728,0.0013565,0.0013565,0.0013565
67,1227.68,1.40558,0.61246,1.03946,0.91335,0.91195,0.95367,0.53487,1.52682,0.5983,1.10345,0.0013466,0.0013466,0.0013466
68,1246.17,1.39922,0.61283,1.04112,0.90445,0.90342,0.94601,0.52861,1.5224,0.59646,1.094,0.0013367,0.0013367,0.0013367
69,1264.36,1.37611,0.60361,1.03765,0.90581,0.91549,0.95675,0.54415,1.50116,0.59665,1.08812,0.0013268,0.0013268,0.0013268
70,1282.8,1.38462,0.6027,1.02836,0.89641,0.92555,0.96253,0.5574,1.45351,0.57853,1.06373,0.0013169,0.0013169,0.0013169
71,1300.99,1.3999,0.61128,1.04075,0.92479,0.91543,0.95848,0.54168,1.49694,0.58601,1.08729,0.001307,0.001307,0.001307
72,1319.25,1.38618,0.60797,1.04496,0.92418,0.88291,0.95204,0.53212,1.51571,0.60131,1.08913,0.0012971,0.0012971,0.0012971
73,1337.77,1.41379,0.61969,1.04238,0.87199,0.91832,0.94875,0.53792,1.52439,0.62014,1.0903,0.0012872,0.0012872,0.0012872
74,1355.82,1.38049,0.60239,1.04472,0.91021,0.91788,0.96189,0.54894,1.48352,0.58761,1.06901,0.0012773,0.0012773,0.0012773
75,1374.21,1.38973,0.60053,1.03929,0.9094,0.91549,0.95324,0.52113,1.55315,0.60673,1.11588,0.0012674,0.0012674,0.0012674
76,1392.47,1.38689,0.59967,1.03841,0.9284,0.90342,0.95754,0.54436,1.48174,0.58832,1.08713,0.0012575,0.0012575,0.0012575
77,1410.5,1.39084,0.60029,1.0416,0.91673,0.90819,0.95778,0.54035,1.51001,0.59536,1.09491,0.0012476,0.0012476,0.0012476
78,1428.75,1.41017,0.6003,1.0455,0.92174,0.90543,0.95508,0.51626,1.59058,0.60791,1.12414,0.0012377,0.0012377,0.0012377
79,1447.04,1.37115,0.59053,1.03961,0.91943,0.91845,0.96553,0.54552,1.49372,0.58597,1.08472,0.0012278,0.0012278,0.0012278
80,1465.87,1.36748,0.58922,1.0268,0.9233,0.89617,0.95629,0.51027,1.60735,0.6028,1.12921,0.0012179,0.0012179,0.0012179
81,1483.49,1.36252,0.58562,1.04237,0.92071,0.8994,0.94876,0.54507,1.51314,0.59106,1.087,0.001208,0.001208,0.001208
82,1501.52,1.37228,0.58796,1.05165,0.90053,0.92902,0.96162,0.54424,1.52014,0.59788,1.10539,0.0011981,0.0011981,0.0011981
83,1519.82,1.36899,0.59367,1.03078,0.93428,0.91537,0.96166,0.5619,1.44553,0.57391,1.05859,0.0011882,0.0011882,0.0011882
84,1538.22,1.38258,0.5908,1.0322,0.91537,0.91147,0.95712,0.55585,1.46364,0.59137,1.07494,0.0011783,0.0011783,0.0011783
85,1556.41,1.34467,0.58274,1.03366,0.92374,0.91751,0.95641,0.55196,1.47684,0.58462,1.07035,0.0011684,0.0011684,0.0011684
86,1574.69,1.37748,0.59142,1.04618,0.92622,0.90928,0.95734,0.51725,1.58142,0.60961,1.10501,0.0011585,0.0011585,0.0011585
87,1592.8,1.37854,0.58572,1.03273,0.93322,0.91751,0.9602,0.53519,1.52835,0.58269,1.09653,0.0011486,0.0011486,0.0011486
88,1610.92,1.34502,0.575,1.02815,0.91221,0.91995,0.95658,0.54816,1.50393,0.57584,1.09398,0.0011387,0.0011387,0.0011387
89,1629.13,1.37069,0.59013,1.03196,0.92013,0.91952,0.95723,0.53687,1.51169,0.59572,1.08686,0.0011288,0.0011288,0.0011288
90,1647.42,1.3645,0.58177,1.03293,0.9178,0.91751,0.95868,0.5486,1.4888,0.58448,1.08271,0.0011189,0.0011189,0.0011189
91,1665.81,1.3746,0.58956,1.03099,0.92187,0.90214,0.95189,0.54243,1.51348,0.59406,1.08836,0.001109,0.001109,0.001109
92,1683.78,1.34338,0.56871,1.03887,0.9267,0.9158,0.96667,0.5505,1.51095,0.58988,1.09547,0.0010991,0.0010991,0.0010991
93,1702.21,1.34329,0.57475,1.02383,0.92129,0.92958,0.96427,0.55833,1.46897,0.57377,1.06779,0.0010892,0.0010892,0.0010892
94,1720.46,1.34979,0.57896,1.02332,0.92772,0.90385,0.95619,0.54909,1.46293,0.57783,1.07353,0.0010793,0.0010793,0.0010793
95,1738.69,1.33616,0.56751,1.032,0.93457,0.90141,0.95415,0.56474,1.44821,0.57137,1.06945,0.0010694,0.0010694,0.0010694
96,1756.81,1.3506,0.5702,1.04833,0.90243,0.91549,0.94948,0.52681,1.56774,0.60411,1.11249,0.0010595,0.0010595,0.0010595
97,1775.14,1.36292,0.59015,1.02773,0.91323,0.90543,0.95463,0.53706,1.54193,0.59374,1.10895,0.0010496,0.0010496,0.0010496
98,1793.51,1.34816,0.57212,1.02155,0.92624,0.91147,0.95872,0.52629,1.54938,0.58049,1.11445,0.0010397,0.0010397,0.0010397
99,1811.6,1.33847,0.56381,1.02744,0.9193,0.92555,0.96449,0.54786,1.5158,0.5704,1.10162,0.0010298,0.0010298,0.0010298
100,1830.01,1.33922,0.55968,1.02166,0.90657,0.91348,0.95862,0.53347,1.53738,0.58436,1.11362,0.0010199,0.0010199,0.0010199
101,1847.99,1.34714,0.56566,1.03076,0.91162,0.91952,0.96055,0.5593,1.46918,0.56447,1.07649,0.00101,0.00101,0.00101
102,1866.1,1.34105,0.55665,1.02683,0.9105,0.92958,0.95959,0.56293,1.47179,0.55977,1.07316,0.0010001,0.0010001,0.0010001
103,1884.37,1.32059,0.55499,1.01998,0.93023,0.9121,0.95888,0.55583,1.46936,0.56006,1.0864,0.0009902,0.0009902,0.0009902
104,1902.49,1.32795,0.56038,1.02129,0.90849,0.91885,0.95741,0.54705,1.5185,0.57837,1.10133,0.0009803,0.0009803,0.0009803
105,1920.81,1.30753,0.55327,1.00425,0.90581,0.92883,0.96171,0.55194,1.50727,0.56738,1.10343,0.0009704,0.0009704,0.0009704
106,1939.21,1.31711,0.55653,1.02057,0.92441,0.92555,0.96073,0.54778,1.48489,0.56504,1.08777,0.0009605,0.0009605,0.0009605
107,1957.79,1.32953,0.55717,1.01376,0.93584,0.91147,0.95424,0.54704,1.49445,0.56623,1.08764,0.0009506,0.0009506,0.0009506
108,1975.95,1.31157,0.53941,1.01173,0.92465,0.91355,0.95514,0.56029,1.46694,0.567,1.08118,0.0009407,0.0009407,0.0009407
109,1994.23,1.33526,0.55597,1.0153,0.91811,0.91751,0.95419,0.54047,1.51735,0.57809,1.10105,0.0009308,0.0009308,0.0009308
110,2011.99,1.3424,0.55893,1.04264,0.91164,0.91346,0.95706,0.5382,1.53834,0.57921,1.11518,0.0009209,0.0009209,0.0009209
111,2030.39,1.31688,0.54616,1.0157,0.91434,0.9336,0.95715,0.52703,1.58336,0.58652,1.13411,0.000911,0.000911,0.000911
112,2048.51,1.31744,0.54433,1.02564,0.91397,0.91751,0.96322,0.54772,1.52034,0.57012,1.10122,0.0009011,0.0009011,0.0009011
113,2066.54,1.28405,0.54248,1.01417,0.93377,0.90784,0.95878,0.56583,1.4595,0.5579,1.07419,0.0008912,0.0008912,0.0008912
114,2085.04,1.31244,0.53992,1.00834,0.91082,0.90946,0.95981,0.56066,1.46102,0.57418,1.07511,0.0008813,0.0008813,0.0008813
115,2103.52,1.31077,0.54625,1.0104,0.91133,0.93062,0.95784,0.54412,1.50061,0.57793,1.09948,0.0008714,0.0008714,0.0008714
116,2121.66,1.29339,0.53847,1.00887,0.90861,0.92016,0.95162,0.53984,1.54941,0.57698,1.10396,0.0008615,0.0008615,0.0008615
